frame_id,timestamp_mmwave,x,y,z,velocity,range,azimuth,elevation,snr,noise,timestamp_dist,box1_distance,box2_distance,box3_distance,box4_distance,box5_distance,box1_active,box2_active,box3_active,box4_active,box5_active,timestamp,loop_id
232,2025-05-15 12:31:56.049510,0.0690018534660339,0.4526476562023163,0.0,0.1207257881760597,0.4578767917761265,8.667472095978377,0.0,500,426,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0598016008734703,0.4924151301383972,0.0,0.1207257881760597,0.4960331560049635,6.924404669381843,0.0,354,451,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0506013557314872,0.4166589677333832,0.0,0.2414515763521194,0.419720374290447,6.924404636070192,0.0,167,779,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0552014783024787,0.4545370638370514,0.0,0.2414515763521194,0.4578767799401786,6.924404429314044,0.0,501,425,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0598016008734703,0.4924151301383972,0.0,0.2414515763521194,0.4960331560049635,6.924404669381843,0.0,392,447,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0506013557314872,0.4166589677333832,0.0,0.3621773719787597,0.419720374290447,6.924404636070192,0.0,152,723,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0552014783024787,0.4545370638370514,0.0,0.3621773719787597,0.4578767799401786,6.924404429314044,0.0,444,428,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
232,2025-05-15 12:31:56.049510,0.0598016008734703,0.4924151301383972,0.0,0.3621773719787597,0.4960331560049635,6.924404669381843,0.0,365,431,2025-05-15 12:31:55.954124,167.0,193.0,183.0,190.0,186.0,0,0,0,0,0,2025-05-15 12:31:56.049510,7
233,2025-05-15 12:31:56.150189,0.0552014783024787,0.4545370638370514,0.0,0.3621773719787597,0.4578767799401786,6.924404429314044,0.0,423,420,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0598016008734703,0.4924151301383972,0.0,0.3621773719787597,0.4960331560049635,6.924404669381843,0.0,376,423,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0506013557314872,0.4166589677333832,0.0,0.4829031527042389,0.419720374290447,6.924404636070192,0.0,186,667,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
